"stimulus","Id_flow","lizard_id","clutch","sex","temp","cort","age_trial","age_euthanasia","trial","prey","t_D","motivation","region","mean_mitodensity","mean_potential","mean_ros","mean_size","mean_dnadamage","mean_peroxidation","mean_conpotential","mean_conros"
"Chemical",47,2119,"CL573_22","Male","Cold","CORT",-0.214554664802427,-0.206523666627626,2,"Familiar",-0.0300813188562839,1,"OB",0.234427193532683,0.0843401300452215,0.18690365766818,-0.350010087337834,0.123653739799436,0.324239084777202,-0.0365287225646928,0.096926618717063
"Chemical",47,2119,"CL573_22","Male","Cold","CORT",-0.214554664802427,-0.206523666627626,4,"Unknown",0.00874759511734351,1,"OB",0.234427193532683,0.0843401300452215,0.18690365766818,-0.350010087337834,0.123653739799436,0.324239084777202,-0.0365287225646928,0.096926618717063
"Chemical",48,1289,"CL346_22","Female","Hot","Control",1.35884621041537,1.3449224143799,2,"Familiar",0.0721084277265794,1,"OB",0.178303041603781,-0.0508105200512671,0.191691470271116,-0.735194659552206,1.04143330731244,0.410391549395486,-0.22393825765174,0.194298004795862
"Chemical",48,1289,"CL346_22","Female","Hot","Control",1.35884621041537,1.3449224143799,3,"Unknown",0.179914771753054,1,"OB",0.178303041603781,-0.0508105200512671,0.191691470271116,-0.735194659552206,1.04143330731244,0.410391549395486,-0.22393825765174,0.194298004795862
"Chemical",49,2530,"CL692_23","Male","Hot","Control",-0.398458663204507,-0.387861520251883,2,"Unknown",1.02807978148931,1,"OB",0.397631455703074,0.151690022149058,0.387356858884758,-0.173602804761527,0.617626950432446,0.343242778660987,-0.0720498366206179,0.285634886735984
"Chemical",49,2530,"CL692_23","Male","Hot","Control",-0.398458663204507,-0.387861520251883,3,"Familiar",-0.063559951207383,1,"OB",0.397631455703074,0.151690022149058,0.387356858884758,-0.173602804761527,0.617626950432446,0.343242778660987,-0.0720498366206179,0.285634886735984
"Chemical",5,2234,"CL601_22","Female","Cold","Control",-0.296289775203351,-0.367712869849187,1,"Unknown",0.366303132040368,NA,"OB",-0.019844328433651,-0.205315204026747,0.0759658276164637,-0.507925594753832,0.163344059502894,-0.656329454162348,-0.320865356223553,0.247028397193776
"Chemical",5,2234,"CL601_22","Female","Cold","Control",-0.296289775203351,-0.367712869849187,4,"Familiar",0.182414851882939,1,"OB",-0.019844328433651,-0.205315204026747,0.0759658276164637,-0.507925594753832,0.163344059502894,-0.656329454162348,-0.320865356223553,0.247028397193776
"Chemical",50,2226,"CL600_22","Male","Hot","CORT",0.132819554401502,0.136003390218193,1,"Unknown",-0.48646716803881,1,"OB",0.261894780313138,0.0876522507691287,0.206386314366927,-0.107126267681875,1.11297497548687,0.400370589263723,-0.0567678369646702,0.0981914072663615
"Chemical",50,2226,"CL600_22","Male","Hot","CORT",0.132819554401502,0.136003390218193,2,"Familiar",-0.048819616057149,1,"OB",0.261894780313138,0.0876522507691287,0.206386314366927,-0.107126267681875,1.11297497548687,0.400370589263723,-0.0567678369646702,0.0981914072663615
"Chemical",51,2252,"CL606_22","Female","Cold","CORT",-0.296289775203351,-0.287118268238407,1,"Unknown",-0.470126557795441,1,"OB",0.364017135817261,0.128437115093756,0.259835013850947,-0.270661107840263,0.750481352294441,0.423980743435916,-0.0810582598159429,0.0618208846040105
"Chemical",51,2252,"CL606_22","Female","Cold","CORT",-0.296289775203351,-0.287118268238407,3,"Familiar",-0.161281589889975,1,"OB",0.364017135817261,0.128437115093756,0.259835013850947,-0.270661107840263,0.750481352294441,0.423980743435916,-0.0810582598159429,0.0618208846040105
