plate,Id_flow,region,tube_no,n_sampled_cells,mean_autofluo,mean_mitodensity,mean_nucl,mean_size,mean_potential,mean_ros,mean_complexity
6,66,OB,1,1074,2.979982585,1.781876909,2.689065259,3.967248753,2.156072467,2.384846598,3.751156959
6,66,OB,2,1407,2.970123594,1.737539935,2.633365347,3.944290463,2.142414421,2.374253449,3.72466784
6,67,OB,1,1575,2.621984735,3.167431615,2.667241783,3.629614837,3.177984619,3.950700274,3.491967321
6,67,OB,2,406,3.176424293,3.914740363,2.604314212,4.283249556,3.86094077,4.644817033,4.064086679
6,68,OB,1,1090,3.019923822,1.741529321,2.651841211,3.802088219,2.056044471,2.39881779,3.569067112
6,68,OB,2,215,3.087189786,3.946365272,2.55919478,4.241257459,3.78171172,4.529921533,4.053911073
7,69,OB,1,1651,2.982476891,2.722046913,2.564288824,3.266647402,2.568841002,3.060742221,3.060307499
7,69,OB,2,1460,3.075160931,2.09182902,2.614766008,3.391770745,2.171651965,2.661194421,3.207629115
7,70,OB,1,1499,2.880102733,3.837590555,2.679455655,4.116409744,3.764167042,4.116146322,3.89942672
7,70,OB,2,1340,3.117054171,4.039633682,2.668640936,4.196118627,3.864881367,4.4304826,4.011950813
7,71,OB,1,1147,2.731195954,3.798584971,2.803215651,4.080395215,3.696080147,4.088248427,3.781728743
7,71,OB,2,1324,2.868383567,3.782012243,2.760052673,4.051902353,3.630594107,4.02314651,3.772391122
7,72,OB,1,856,1.637055746,2.639639052,1.314439177,2.47991117,2.107364524,2.65879827,2.758582115
7,72,OB,2,1174,2.09866804,2.667023158,1.557968009,2.655930806,2.2415281,2.752288108,2.521878772
7,73,OB,1,1139,3.107478301,3.599685166,2.67338245,4.122251333,3.429923547,4.08733065,4.081314268
7,73,OB,2,1307,2.906403987,2.452297114,2.61433047,4.324687356,2.369741499,2.899550458,4.253763561
7,74,OB,1,117,3.298835471,2.388300489,2.612650097,4.460988319,2.512714528,2.81624773,4.521811297
7,74,OB,2,402,3.164016571,4.231172584,2.607062055,4.218496385,4.072824679,4.249379563,4.216877457
7,75,OB,1,331,3.502782474,2.210501761,2.663685051,4.450824576,2.319126584,2.748182841,4.271333813
7,75,OB,2,9738,1.875699094,3.006305799,1.357094255,2.53006901,2.285673214,2.474814348,2.407333739
7,76,OB,2,155,3.389024999,4.161299599,2.704043142,4.275255155,4.179790744,4.523254456,4.241228379
7,77,OB,1,2192,2.842826881,3.108792511,2.68739236,3.602264871,2.9843629,3.54529329,3.308549597
7,77,OB,2,653,3.35001884,2.142952646,2.606097718,4.094603745,2.19207201,2.732891968,3.88449176
7,78,OB,1,1144,3.189124641,3.786963014,2.694202406,4.137627699,3.690686007,4.274685594,3.912256837
7,78,OB,2,828,2.971910553,3.800015514,2.694446759,3.970606076,3.759708804,4.354236071,3.773417012
7,79,OB,1,864,2.923594666,2.620651515,2.59943848,3.945207327,2.89474299,3.37786934,3.709242309
7,79,OB,2,331,2.970927959,4.129704534,2.575829055,4.267387786,3.963390103,4.300266335,4.091430757
7,80,OB,1,2672,2.571007661,2.198106777,2.624710715,3.612842251,2.600620174,2.441699681,3.368585624
7,80,OB,2,621,2.892189904,3.726816224,2.599474443,4.179704903,3.681465927,4.150135029,3.93418601
1,1,OT,1,16833,3.348310716,2.983631995,2.663929148,3.840258973,3.157801585,3.495865419,3.769731705
1,1,OT,2,15321,3.277361266,2.802722508,2.63781919,3.739628142,2.965094141,3.337425124,3.667187117
1,2,OT,1,23897,3.365908393,2.882781886,2.685386168,3.997399003,3.051896633,3.294690682,3.93034886
1,2,OT,2,34909,3.403081306,2.836566385,2.73331333,4.039881059,3.085663041,3.391493964,3.978311563
1,3,OT,1,14195,3.554843753,3.072664685,2.66730196,4.449105731,3.419819083,3.579190572,4.474467861
1,3,OT,2,21323,3.402334244,2.444116819,2.735511035,4.188392294,2.709062961,2.93555043,4.206374342
1,4,OT,1,11762,3.53171569,2.126689166,2.653149603,4.173586452,2.288817795,2.760549286,4.124783752
1,4,OT,2,34334,3.367980322,3.078315544,2.755324031,4.023887968,3.272866904,3.627150924,3.954123487
1,5,OT,1,15587,3.368782929,2.318047233,2.738732208,3.827668511,2.376279699,2.895194849,3.756289345
1,5,OT,2,21807,3.300633393,2.904866533,2.714196982,3.663713227,3.013010416,3.499278339,3.577633652
1,6,OT,1,32636,3.406657204,2.977107119,2.740839212,3.935053448,3.174890116,3.520973683,3.882399934
1,6,OT,2,40490,3.496260672,2.088708714,2.842047235,4.067732971,2.222285625,2.773717651,4.036298587
1,7,OT,1,28342,3.359849813,2.429073269,2.739034225,4.004722314,2.535043595,2.860375423,3.963695127
1,7,OT,2,29380,3.414578054,2.402052029,2.747087326,4.055841444,2.621432869,2.947083034,4.017727569
1,8,OT,1,9964,3.207056206,2.977118729,2.598094953,3.8220902,3.113608094,3.377853975,3.759579179
1,8,OT,2,24470,3.329395622,3.066175621,2.73027096,4.056649759,3.220676449,3.513079009,4.022827182
2,9,OT,1,1797,2.34025902,3.760902612,2.745392651,3.635964605,4.05924227,3.137690249,3.137181384
2,9,OT,2,7038,2.523008075,4.083479283,2.592985205,3.937734111,4.384580208,3.703540854,3.562603148
2,10,OT,1,6079,3.015519228,3.739557708,2.597632073,4.109331689,4.523317256,3.944854577,3.922484557
2,10,OT,2,3332,2.956729076,3.830017674,2.566146307,4.268837657,4.538519343,4.072255265,4.053233935
2,11,OT,1,7189,3.091530629,3.899963622,2.617381899,4.020522598,4.540065609,4.100134563,3.950854195
2,11,OT,2,7309,3.103536998,4.01516488,2.625235815,4.112793773,4.549633174,4.199645603,4.045361956
2,12,OT,1,5222,3.120550389,4.353089921,2.575295633,4.213704057,4.671878551,4.380439238,4.159701849
2,12,OT,2,3176,3.181287389,4.289867887,2.57765203,4.231503398,4.703203066,4.43686977,4.170088649
2,13,OT,1,6536,3.152414706,4.216323335,2.600930707,4.177637457,4.617605956,4.362473863,4.089643597
2,13,OT,2,6178,3.145182281,4.136266227,2.604116733,4.171076471,4.585022951,4.335019074,4.083058588
2,14,OT,1,3037,3.014246535,3.97471195,2.600971784,4.024571395,4.430352297,4.120430716,3.97366073
2,14,OT,2,2654,3.077732919,4.049626837,2.554798475,4.077861048,4.470646626,4.196321476,4.01201347
2,15,OT,1,4033,2.989233087,3.964901933,2.607360956,4.082034576,4.491508641,4.108167399,3.950565655
2,15,OT,2,2737,3.073202738,4.057801348,2.579632728,4.100379768,4.486801205,4.187887756,3.96899314
2,16,OT,1,4245,3.00358202,3.85985059,2.6223447,4.053273968,4.408051381,4.078506691,3.911037465
2,16,OT,2,3905,3.02600151,3.819884238,2.616358881,4.035148884,4.373742366,4.082835642,3.911576273
2,17,OT,1,5624,3.086177085,4.169435473,2.59224993,4.104077672,4.610706145,4.229926431,4.077933087
2,17,OT,2,4361,3.176855488,4.226489203,2.580294017,4.131161881,4.600309726,4.296002551,4.105850302
2,18,OT,1,4379,3.151727348,4.209127029,2.605549682,4.204092025,4.667041614,4.445989759,4.117954342
2,18,OT,2,4839,3.174678844,4.2430821,2.595841408,4.226917611,4.673623549,4.475817442,4.133511466
2,19,OT,1,6234,3.19971112,4.264152497,2.602153241,4.299151929,4.719194273,4.436087696,4.262793206
2,19,OT,2,6393,3.166950869,4.227637558,2.580903229,4.268196301,4.735977792,4.418466964,4.225600029
2,20,OT,1,3010,3.038989231,3.931928072,2.627121468,4.062199922,4.398961028,4.170115415,3.94382052
2,20,OT,2,2364,2.996248381,4.00140302,2.658013589,4.001909666,4.33613708,4.116533944,3.921870092
3,21,OT,1,9816,3.216715893,2.041607637,2.672608181,4.169889979,2.508451487,2.606107003,4.12461687
3,21,OT,2,8628,3.090154453,4.081713005,2.643585542,4.311857121,4.45094231,4.273083074,4.26770155
3,22,OT,1,8221,2.933975652,3.896222083,2.641109025,4.104952777,4.302447999,4.119807966,4.054364333
3,22,OT,2,7358,3.007663658,3.734256954,2.643162369,4.066659322,4.133586115,4.045380161,4.004818497
3,23,OT,1,14564,3.0485417,2.470700918,2.687667406,4.024345576,3.038244791,2.752049443,3.956007839
3,23,OT,2,5616,3.195494717,4.268398098,2.644552407,4.383264811,4.628691537,4.43628228,4.350775599
3,24,OT,1,10126,3.028989566,4.027569619,2.663261295,4.215237073,4.396723547,4.287840791,4.159836565
3,24,OT,2,5783,3.155787752,4.213940509,2.631027212,4.321369349,4.56917913,4.448464118,4.262168065
3,25,OT,1,14631,3.154391625,4.04807831,2.682537452,4.325990388,4.243488256,4.257809081,4.26638476
3,25,OT,2,13788,3.294208566,4.187861611,2.690861191,4.449897976,4.388761897,4.411837366,4.394198416
3,26,OT,1,4617,3.067742304,4.087162533,2.643430619,4.221746114,4.444510655,4.308504775,4.153475831
3,26,OT,2,5274,3.058572753,3.794520262,2.683973095,4.206971146,4.080699658,4.168861718,4.126661894
3,27,OT,1,12788,3.258042695,2.056690765,2.6745712,4.088300783,2.465568711,2.562921802,4.017805775
3,27,OT,2,13129,3.204205138,2.50854135,2.668803143,3.964426947,2.916791532,2.85252134,3.897768114
3,28,OT,1,10100,3.189445603,4.119806924,2.677743907,4.436715997,4.452136699,4.329834707,4.433179535
3,28,OT,2,14583,3.061958689,4.093881585,2.677245278,4.316388851,4.454404125,4.269550904,4.311924688
3,29,OT,1,8766,3.098398316,4.100046485,2.643188696,4.311548204,4.343316593,4.308835924,4.22937624
3,29,OT,2,8363,2.977294226,4.103333485,2.63572869,4.237039874,4.367787631,4.26290547,4.155153018
3,30,OT,1,9894,3.155765306,3.915032869,2.641085729,4.269875243,4.122213911,4.134628833,4.192739114
3,30,OT,2,13370,3.223106129,4.125812032,2.697827897,4.363352718,4.240731738,4.27298986,4.291803703
3,31,OT,1,8061,3.129121639,4.213952901,2.640994682,4.397301708,4.565256223,4.408787992,4.381240202
3,31,OT,2,9591,3.076164411,4.049939304,2.67649228,4.351194905,4.32704056,4.286457177,4.338373365
3,32,OT,1,9424,3.198082662,1.937759536,2.646809441,4.048977215,2.757199636,2.533467088,3.959254142
3,32,OT,2,5128,3.048723082,4.150671825,2.655421212,4.30094989,4.482409138,4.330179041,4.254823923
4,33,OT,1,7116,3.178409648,4.005020744,2.696580664,4.379914791,4.204355151,4.422359311,4.347319652
4,33,OT,2,8985,3.173617238,3.797958148,2.681107011,4.328344341,4.087422484,4.330283351,4.292736422
4,34,OT,1,9178,3.110545333,3.836929425,2.717888345,4.252975395,4.017703529,4.270892873,4.213219884
4,34,OT,2,9909,3.103606396,3.746892765,2.725188757,4.237002294,3.951487921,4.268252479,4.199606364
4,35,OT,1,6858,3.114215099,3.855546898,2.707306048,4.235347529,4.045089321,4.301825942,4.190197251
4,35,OT,2,6583,3.107111937,3.748967365,2.726931513,4.180824379,3.925220753,4.231982628,4.139257312
4,36,OT,1,7203,3.207096333,3.69460144,2.679331752,4.154641762,3.937079944,4.193114979,4.110305237
4,36,OT,2,8157,3.061860531,3.735882997,2.701890606,4.148586687,3.964088771,4.163917098,4.112406342
4,37,OT,1,13163,3.054592103,3.401311669,2.710351681,4.097868258,3.604294949,3.218339266,4.049235396
4,37,OT,2,9941,3.209537536,3.987297364,2.695299502,4.412068564,4.169732383,4.414452738,4.383646184
4,38,OT,1,14091,3.170142848,3.764719447,2.684307331,4.230378513,3.92392217,4.148560251,4.173970818
4,38,OT,2,9449,3.20076264,4.080392327,2.707623392,4.393256417,4.192149105,4.454930439,4.348600976
4,39,OT,1,4874,3.183717504,4.091126571,2.687891343,4.321374418,4.175663509,4.507206979,4.264798988
4,39,OT,2,4895,3.041417475,3.917838417,2.722510772,4.178683648,3.957712229,4.311998591,4.117892791
4,40,OT,1,8458,3.249074599,3.980775939,2.699010759,4.364424059,4.123652121,4.467681187,4.331630648
4,40,OT,2,6176,3.298333504,4.054824799,2.69871085,4.413808209,4.164476026,4.52648991,4.379656604
4,41,OT,1,11252,3.289059219,3.973874497,2.706361511,4.41277855,4.075540495,4.493848234,4.355780714
4,41,OT,2,9124,3.262038318,3.999387352,2.715133834,4.372618973,4.076043032,4.46999953,4.317111838
4,42,OT,1,20675,2.735352905,3.528881647,2.733576322,3.924114979,3.6625402,3.951258397,3.858373113
4,42,OT,2,11259,3.147380827,3.918853208,2.69080091,4.273118323,4.067885761,4.373310214,4.22957
4,43,OT,1,8936,3.233886451,4.037503187,2.678931604,4.439469633,4.189432799,4.472461442,4.424691274
4,43,OT,2,3752,3.242668192,4.045208505,2.679166728,4.487873476,4.211468779,4.520733211,4.4650738
4,44,OT,1,7537,3.22962131,3.900821124,2.699565111,4.289659903,3.994215491,4.413296317,4.251832628
4,44,OT,2,8376,3.140647977,3.817195759,2.656858259,4.226239606,3.994580604,4.377942095,4.170719661
5,45,OT,1,8246,3.219965024,3.994018933,2.672865915,4.549770213,3.98438915,4.413458456,4.545936771
5,45,OT,2,5304,3.261794264,4.111268762,2.672766346,4.577649258,4.080043661,4.497961093,4.574617879
5,46,OT,1,4831,3.05526886,3.955822646,2.688750277,4.313416007,3.939783803,4.336520723,4.287156348
5,46,OT,2,6550,3.171100526,2.698704234,2.675988371,4.177987068,2.820871988,2.782919861,4.11788281
5,47,OT,1,2443,3.057363296,3.864039072,2.718701899,4.270107588,3.837253547,4.277482082,4.215766074
5,47,OT,2,1720,3.178903406,4.105658939,2.695909346,4.378337939,3.982408521,4.51916262,4.330666735
5,48,OT,1,4547,2.915909603,3.843970381,2.724526147,4.210759496,3.789886721,4.144305143,4.180420737
